"","au2010","lib2010","cat2010","tau2015","ppltn15","emply15","entrp15","nvntr15","prfss15","intll15","stnserv","emp_diff","entre_diff","new_diff","prof_diff","int_diff","serv_diff","libau2010"
"77",85,"Brive-la-Gaillarde",112,7,102506,41379,6065,644,2159,4010,19,4.27573742505345,11.2537295854125,3.96361247460506,14.0759034206567,5.53476069853165,4.59700302350647,"Brive-la-Gaillarde"
"78",136,"Gap",112,6,63487,26113,4779,476,1486,2130,14,7.32257896640398,37.0313164652512,26.3062687448841,27.8026580942187,1.35872703955693,16.0213479840802,"Gap"
"79",24,"Metz",112,8,389612,161563,20270,2511,6093,21582,67,3.69780423738675,-6.34451876358941,-6.47913792284198,-24.5432122463781,9.15320121713563,13.6713738756403,"Metz"
"80",48,"Troyes",112,7,194504,73759,9554,1047,3416,7480,41,-3.54172852092951,-9.62880169564091,-17.7241748766935,-8.33812648456931,-11.1247665400318,25.4070332209046,"Troyes"
"81",63,"Calais",111,7,130730,43518,4852,580,1859,3599,25,-15.600530873024,-36.2445671401174,-33.1915032639137,-26.8172603628911,-35.2768316111943,10.7380079049651,"Calais"
"82",73,"Belfort",111,7,114445,43920,4993,580,1544,6955,17,-1.05151170940356,-19.6041115404878,-18.5928778424684,-31.1981451063124,47.0128853357636,-16.1754667187442,"Belfort"
"83",147,"Saint-Lô",112,6,49924,20543,2325,223,869,1912,8,7.95266491945359,-10.1340316251683,-23.1462553938168,-0.22185671140198,20.2044238001953,-18.8897611114366,"Saint-Lô"
"84",62,"Arras",111,7,130541,52682,5894,736,2018,6467,30,3.65760610431352,-16.6403687997045,-9.21254537867879,-18.4561770413696,23.5072440392981,29.0968845542542,"Arras"
"85",81,"Roanne",112,7,107211,39918,6194,646,2278,3353,20,-3.9164384683982,8.71145325392924,-0.650778093703153,14.6561172436757,-17.8940480690434,5.79557101980126,"Roanne"
"86",118,"Romans-sur-Isère",112,6,74591,28924,4790,550,1630,2986,13,1.0335587262281,20.5710429468027,23.0693066344072,19.8655763424009,15.2593426782819,-5.50739874684694,"Romans-sur-Isère"
"87",113,"Saint-Malo",112,6,73405,27986,4932,533,1625,2846,16,-0.62117498547849,25.152090387755,21.6883727506213,21.2673180227758,12.4342055069864,16.6603913449659,"Saint-Malo"
"88",120,"Alençon",112,6,67801,25991,2975,286,1185,2188,12,0.119245926119582,-17.1747723820211,-31.8502662706339,-1.84156467543382,-4.06332949108723,-5.15195390489249,"Alençon"
"89",139,"Aubenas",112,6,61213,21784,4467,521,1991,1659,14,-7.06636552306446,34.05682309553,39.3419994006091,60.9467674867078,-19.1330416043611,19.216194288187,"Aubenas"
"90",86,"Montauban",111,7,110657,43243,6886,991,2592,4034,20,0.843307022783613,16.0265216218914,38.6692141288466,24.1960756031764,-3.3058199602598,3.02457525034385,"Montauban"
"91",104,"Rodez",112,6,86689,38263,5053,483,2084,3502,21,13.6162337978734,10.3523689007723,-6.41425263564175,28.4100155243379,12.6602861650985,29.28470974487,"Rodez"
"92",82,"Sarrebruck (ALL) - Forbach (partie française)",112,7,100238,34794,4334,490,1399,2450,15,-10.7649742766416,-20.033877586156,-20.9105958816438,-26.9272211703203,-40.9759360151395,-17.0821685582798,"Sarrebruck (ALL) - Forbach (partie française)"
"93",9,"Strasbourg (partie française)",111,9,778062,331873,48091,5425,12952,52911,98,4.8256718609176,8.43204504545891,-5.34163341076841,-22.879818062273,13.5190723269934,-8.88225219508829,"Strasbourg (partie française)"
"94",26,"Valenciennes (partie française)",112,8,369849,125309,13041,1736,4141,11216,48,-16.3804131434826,-45.0585932539692,-37.6766511015665,-57.6130179931461,-49.8779294078457,-15.1182234747908,"Valenciennes (partie française)"
"95",23,"Angers",112,8,403256,162563,18967,2334,7038,21582,39,0.788607004045971,-16.5527611079682,-17.5658681002456,-13.7949155332519,4.90778178219493,-43.4565443068991,"Angers"
"96",76,"Vienne",111,7,114110,46338,7343,980,2777,5311,23,4.60806355315473,19.2704871690498,34.181242162414,27.8138972483335,20.4063860353665,14.3093833301856,"Vienne"
"97",66,"Quimper",112,7,127286,51967,7431,807,2448,5913,20,4.87797996462298,9.14683302879098,2.76761577210989,3.55263240377344,17.665802210611,-9.23794015787602,"Quimper"
"98",88,"Mâcon",112,7,100663,42677,5800,632,1954,4166,20,9.22309621207624,8.66472233617532,4.07353727073048,6.0337407908464,11.5890473750097,11.3154558554318,"Mâcon"
"99",3,"Marseille - Aix-en-Provence",111,9,1752398,661680,135357,17546,33938,103348,251,-9.35145271615099,27.8408079235856,22.9445901618231,-13.1236418243667,-19.6765089841833,14.0500752384794,"Marseille - Aix-en-Provence"
"100",5,"Lille (partie française)",111,9,1184708,465292,67035,9183,17654,89003,115,-4.456350618584,-1.89180882425433,1.15595598152662,-36.7385142943554,13.6668645749525,-29.7120309070556,"Lille (partie française)"
"101",93,"Châteauroux",112,6,91360,36482,4090,475,1428,3130,14,3.47330899683467,-16.2255674358518,-13.8432173511943,-14.9871602112023,-5.04285603464876,-15.8585184913799,"Châteauroux"
"102",47,"La Rochelle",111,8,214109,83616,14449,1806,4707,10401,33,-0.836768228342777,21.7938554166446,26.2566070896918,13.480474197231,9.9974199419389,-4.71077433298972,"La Rochelle"
"103",8,"Nantes",111,9,926406,404558,52901,7219,18118,72471,105,6.75232029093085,-0.104837105206279,4.07941147930693,-7.92095752855104,23.4528319090055,-17.2677420567566,"Nantes"
"104",135,"Vesoul",112,6,59262,24409,2958,297,1089,1962,13,7.62963634978249,-3.80952519279836,-13.3054524288018,4.06276515869779,1.63706291444896,14.64250671402,"Vesoul"
"105",137,"Berck",112,6,57055,20298,3216,342,1119,1444,13,-6.92519790190911,8.4828468026994,4.96699252463131,10.8270101706254,-24.3365663969628,17.9667215379191,"Berck"
"106",45,"Chambéry",111,8,223280,95575,15094,1858,5158,13465,39,8.2341111816902,21.8181665413056,24.4929463302794,18.1582990985724,30.6435145629809,8.32104730496033,"Chambéry"
"107",106,"Dieppe",112,6,80571,30731,3637,355,1314,2292,12,-0.807009972003847,-14.9515107942257,-29.1731015084312,-9.90762453721183,-20.7035607985756,-20.2664120064538,"Dieppe"
